year,place,category,cnt
2018,아파트_연립다세대,살인,96
2018,단독주택,살인,85
2018,고속도로,살인,0
2018,노상,살인,27
2018,백화점,살인,0
2018,슈퍼마켓,살인,0
2018,편의점,살인,1
2018,대형할인매장,살인,0
2018,상점,살인,2
2018,시장_노점,살인,0
2018,숙박업소_목욕탕,살인,12
2018,유흥접객업소,살인,16
2018,사무실,살인,5
2018,공장,살인,3
2018,공사장_광산,살인,1
2018,창고,살인,1
2018,역_대합실,살인,0
2018,지하철,살인,0
2018,기타교통수단내,살인,8
2018,흥행장,살인,0
2018,유원지,살인,2
2018,학교,살인,0
2018,금융기관,살인,0
2018,의료기관,살인,5
2018,종교기관,살인,1
2018,산야,살인,7
2018,해상,살인,1
2018,부대,살인,0
2018,구금장소,살인,0
2018,공지,살인,0
2018,주차장,살인,5
2018,공중화장실,살인,1
2018,피씨방,살인,1
2018,기타,살인,29
2018,아파트_연립다세대,살인,117
2018,단독주택,살인,107
2018,고속도로,살인,1
2018,노상,살인,101
2018,백화점,살인,0
2018,슈퍼마켓,살인,3
2018,편의점,살인,3
2018,대형할인매장,살인,1
2018,상점,살인,5
2018,시장_노점,살인,2
2018,숙박업소_목욕탕,살인,16
2018,유흥접객업소,살인,42
2018,사무실,살인,21
2018,공장,살인,2
2018,공사장_광산,살인,3
2018,창고,살인,2
2018,역_대합실,살인,2
2018,지하철,살인,0
2018,기타교통수단내,살인,9
2018,흥행장,살인,2
2018,유원지,살인,2
2018,학교,살인,1
2018,금융기관,살인,1
2018,의료기관,살인,12
2018,종교기관,살인,2
2018,산야,살인,2
2018,해상,살인,0
2018,부대,살인,1
2018,구금장소,살인,0
2018,공지,살인,1
2018,주차장,살인,4
2018,공중화장실,살인,1
2018,피씨방,살인,0
2018,기타,살인,22
2018,아파트_연립다세대,강도,78
2018,단독주택,강도,83
2018,고속도로,강도,0
2018,노상,강도,252
2018,백화점,강도,1
2018,슈퍼마켓,강도,16
2018,편의점,강도,82
2018,대형할인매장,강도,3
2018,상점,강도,35
2018,시장_노점,강도,1
2018,숙박업소_목욕탕,강도,80
2018,유흥접객업소,강도,56
2018,사무실,강도,23
2018,공장,강도,3
2018,공사장_광산,강도,2
2018,창고,강도,1
2018,역_대합실,강도,3
2018,지하철,강도,0
2018,기타교통수단내,강도,11
2018,흥행장,강도,1
2018,유원지,강도,5
2018,학교,강도,1
2018,금융기관,강도,15
2018,의료기관,강도,2
2018,종교기관,강도,3
2018,산야,강도,4
2018,해상,강도,2
2018,부대,강도,0
2018,구금장소,강도,0
2018,공지,강도,0
2018,주차장,강도,9
2018,공중화장실,강도,3
2018,피씨방,강도,6
2018,기타,강도,40
2018,아파트_연립다세대,강간·강제추행,1308
2018,단독주택,강간·강제추행,1074
2018,고속도로,강간·강제추행,0
2018,노상,강간·강제추행,160
2018,백화점,강간·강제추행,2
2018,슈퍼마켓,강간·강제추행,2
2018,편의점,강간·강제추행,3
2018,대형할인매장,강간·강제추행,1
2018,상점,강간·강제추행,39
2018,시장_노점,강간·강제추행,17
2018,숙박업소_목욕탕,강간·강제추행,1582
2018,유흥접객업소,강간·강제추행,282
2018,사무실,강간·강제추행,49
2018,공장,강간·강제추행,5
2018,공사장_광산,강간·강제추행,2
2018,창고,강간·강제추행,3
2018,역_대합실,강간·강제추행,2
2018,지하철,강간·강제추행,0
2018,기타교통수단내,강간·강제추행,130
2018,흥행장,강간·강제추행,6
2018,유원지,강간·강제추행,22
2018,학교,강간·강제추행,25
2018,금융기관,강간·강제추행,0
2018,의료기관,강간·강제추행,16
2018,종교기관,강간·강제추행,8
2018,산야,강간·강제추행,17
2018,해상,강간·강제추행,1
2018,부대,강간·강제추행,0
2018,구금장소,강간·강제추행,0
2018,공지,강간·강제추행,2
2018,주차장,강간·강제추행,54
2018,공중화장실,강간·강제추행,62
2018,피씨방,강간·강제추행,1
2018,기타,강간·강제추행,418
2018,아파트_연립다세대,강간·강제추행,176
2018,단독주택,강간·강제추행,173
2018,고속도로,강간·강제추행,0
2018,노상,강간·강제추행,33
2018,백화점,강간·강제추행,0
2018,슈퍼마켓,강간·강제추행,1
2018,편의점,강간·강제추행,1
2018,대형할인매장,강간·강제추행,0
2018,상점,강간·강제추행,2
2018,시장_노점,강간·강제추행,6
2018,숙박업소_목욕탕,강간·강제추행,117
2018,유흥접객업소,강간·강제추행,69
2018,사무실,강간·강제추행,6
2018,공장,강간·강제추행,0
2018,공사장_광산,강간·강제추행,2
2018,창고,강간·강제추행,0
2018,역_대합실,강간·강제추행,0
2018,지하철,강간·강제추행,0
2018,기타교통수단내,강간·강제추행,51
2018,흥행장,강간·강제추행,0
2018,유원지,강간·강제추행,7
2018,학교,강간·강제추행,7
2018,금융기관,강간·강제추행,0
2018,의료기관,강간·강제추행,8
2018,종교기관,강간·강제추행,4
2018,산야,강간·강제추행,1
2018,해상,강간·강제추행,0
2018,부대,강간·강제추행,0
2018,구금장소,강간·강제추행,1
2018,공지,강간·강제추행,0
2018,주차장,강간·강제추행,14
2018,공중화장실,강간·강제추행,13
2018,피씨방,강간·강제추행,1
2018,기타,강간·강제추행,83
2018,아파트_연립다세대,강간·강제추행,1347
2018,단독주택,강간·강제추행,1053
2018,고속도로,강간·강제추행,20
2018,노상,강간·강제추행,3071
2018,백화점,강간·강제추행,32
2018,슈퍼마켓,강간·강제추행,110
2018,편의점,강간·강제추행,285
2018,대형할인매장,강간·강제추행,19
2018,상점,강간·강제추행,309
2018,시장_노점,강간·강제추행,211
2018,숙박업소_목욕탕,강간·강제추행,1039
2018,유흥접객업소,강간·강제추행,3456
2018,사무실,강간·강제추행,490
2018,공장,강간·강제추행,40
2018,공사장_광산,강간·강제추행,12
2018,창고,강간·강제추행,12
2018,역_대합실,강간·강제추행,432
2018,지하철,강간·강제추행,840
2018,기타교통수단내,강간·강제추행,1260
2018,흥행장,강간·강제추행,98
2018,유원지,강간·강제추행,243
2018,학교,강간·강제추행,340
2018,금융기관,강간·강제추행,11
2018,의료기관,강간·강제추행,245
2018,종교기관,강간·강제추행,57
2018,산야,강간·강제추행,28
2018,해상,강간·강제추행,1
2018,부대,강간·강제추행,16
2018,구금장소,강간·강제추행,11
2018,공지,강간·강제추행,1
2018,주차장,강간·강제추행,121
2018,공중화장실,강간·강제추행,84
2018,피씨방,강간·강제추행,58
2018,기타,강간·강제추행,1701
2018,아파트_연립다세대,강간·강제추행,96
2018,단독주택,강간·강제추행,92
2018,고속도로,강간·강제추행,0
2018,노상,강간·강제추행,24
2018,백화점,강간·강제추행,0
2018,슈퍼마켓,강간·강제추행,0
2018,편의점,강간·강제추행,0
2018,대형할인매장,강간·강제추행,0
2018,상점,강간·강제추행,2
2018,시장_노점,강간·강제추행,5
2018,숙박업소_목욕탕,강간·강제추행,53
2018,유흥접객업소,강간·강제추행,13
2018,사무실,강간·강제추행,5
2018,공장,강간·강제추행,0
2018,공사장_광산,강간·강제추행,0
2018,창고,강간·강제추행,0
2018,역_대합실,강간·강제추행,1
2018,지하철,강간·강제추행,0
2018,기타교통수단내,강간·강제추행,15
2018,흥행장,강간·강제추행,0
2018,유원지,강간·강제추행,4
2018,학교,강간·강제추행,5
2018,금융기관,강간·강제추행,0
2018,의료기관,강간·강제추행,2
2018,종교기관,강간·강제추행,3
2018,산야,강간·강제추행,2
2018,해상,강간·강제추행,0
2018,부대,강간·강제추행,0
2018,구금장소,강간·강제추행,0
2018,공지,강간·강제추행,0
2018,주차장,강간·강제추행,2
2018,공중화장실,강간·강제추행,8
2018,피씨방,강간·강제추행,2
2018,기타,강간·강제추행,22
2018,아파트_연립다세대,0,352
2018,단독주택,0,350
2018,고속도로,0,0
2018,노상,0,227
2018,백화점,0,0
2018,슈퍼마켓,0,1
2018,편의점,0,6
2018,대형할인매장,0,1
2018,상점,0,27
2018,시장_노점,0,26
2018,숙박업소_목욕탕,0,28
2018,유흥접객업소,0,69
2018,사무실,0,48
2018,공장,0,23
2018,공사장_광산,0,12
2018,창고,0,13
2018,역_대합실,0,4
2018,지하철,0,2
2018,기타교통수단내,0,6
2018,흥행장,0,0
2018,유원지,0,11
2018,학교,0,9
2018,금융기관,0,4
2018,의료기관,0,20
2018,종교기관,0,14
2018,산야,0,17
2018,해상,0,212
2018,부대,0,0
2018,구금장소,0,0
2018,공지,0,1
2018,주차장,0,51
2018,공중화장실,0,18
2018,피씨방,0,0
2018,기타,0,139
2018,아파트_연립다세대,절도,11515
