year,region,category,cnt
2018,종로구,살인,6
2018,중구,살인,2
2018,용산구,살인,1
2018,성동구,살인,2
2018,광진구,살인,7
2018,동대문구,살인,2
2018,중랑구,살인,4
2018,성북구,살인,7
2018,강북구,살인,8
2018,도봉구,살인,1
2018,노원구,살인,5
2018,은평구,살인,8
2018,서대문구,살인,5
2018,마포구,살인,6
2018,양천구,살인,2
2018,강서구,살인,11
2018,구로구,살인,8
2018,금천구,살인,6
2018,영등포구,살인,17
2018,동작구,살인,3
2018,관악구,살인,9
2018,서초구,살인,5
2018,강남구,살인,10
2018,송파구,살인,5
2018,강동구,살인,3
2018,종로구,강도,3
2018,중구,강도,11
2018,용산구,강도,3
2018,성동구,강도,5
2018,광진구,강도,2
2018,동대문구,강도,5
2018,중랑구,강도,3
2018,성북구,강도,1
2018,강북구,강도,7
2018,도봉구,강도,5
2018,노원구,강도,5
2018,은평구,강도,1
2018,서대문구,강도,3
2018,마포구,강도,6
2018,양천구,강도,4
2018,강서구,강도,6
2018,구로구,강도,9
2018,금천구,강도,7
2018,영등포구,강도,8
2018,동작구,강도,7
2018,관악구,강도,10
2018,서초구,강도,5
2018,강남구,강도,14
2018,송파구,강도,6
2018,강동구,강도,7
2018,종로구,강간·강제추행,236
2018,중구,강간·강제추행,207
2018,용산구,강간·강제추행,331
2018,성동구,강간·강제추행,126
2018,광진구,강간·강제추행,229
2018,동대문구,강간·강제추행,145
2018,중랑구,강간·강제추행,174
2018,성북구,강간·강제추행,183
2018,강북구,강간·강제추행,188
2018,도봉구,강간·강제추행,113
2018,노원구,강간·강제추행,194
2018,은평구,강간·강제추행,188
2018,서대문구,강간·강제추행,206
2018,마포구,강간·강제추행,473
2018,양천구,강간·강제추행,120
2018,강서구,강간·강제추행,269
2018,구로구,강간·강제추행,250
2018,금천구,강간·강제추행,200
2018,영등포구,강간·강제추행,391
2018,동작구,강간·강제추행,288
2018,관악구,강간·강제추행,352
2018,서초구,강간·강제추행,470
2018,강남구,강간·강제추행,600
2018,송파구,강간·강제추행,309
2018,강동구,강간·강제추행,170
2018,종로구,절도,1483
2018,중구,절도,1855
2018,용산구,절도,1096
2018,성동구,절도,999
2018,광진구,절도,1769
2018,동대문구,절도,1447
2018,중랑구,절도,1526
2018,성북구,절도,1164
2018,강북구,절도,1112
2018,도봉구,절도,781
2018,노원구,절도,1422
2018,은평구,절도,1278
2018,서대문구,절도,1062
2018,마포구,절도,2011
2018,양천구,절도,1384
2018,강서구,절도,1724
2018,구로구,절도,1717
2018,금천구,절도,1168
2018,영등포구,절도,2292
2018,동작구,절도,1151
2018,관악구,절도,2012
2018,서초구,절도,1851
2018,강남구,절도,3004
2018,송파구,절도,2352
2018,강동구,절도,1515
2018,종로구,폭력,1962
2018,중구,폭력,1955
2018,용산구,폭력,1980
2018,성동구,폭력,1325
2018,광진구,폭력,1908
2018,동대문구,폭력,2081
2018,중랑구,폭력,2581
2018,성북구,폭력,1687
2018,강북구,폭력,2122
2018,도봉구,폭력,1349
2018,노원구,폭력,2381
2018,은평구,폭력,2115
2018,서대문구,폭력,1526
2018,마포구,폭력,2676
2018,양천구,폭력,2005
2018,강서구,폭력,2619
2018,구로구,폭력,2826
2018,금천구,폭력,1912
2018,영등포구,폭력,3132
2018,동작구,폭력,1651
2018,관악구,폭력,2643
2018,서초구,폭력,2395
2018,강남구,폭력,3885
2018,송파구,폭력,3135
2018,강동구,폭력,2224
2019,종로구,살인,4
2019,중구,살인,2
2019,용산구,살인,3
2019,성동구,살인,6
2019,광진구,살인,4
2019,동대문구,살인,6
2019,중랑구,살인,10
2019,성북구,살인,3
2019,강북구,살인,6
2019,도봉구,살인,1
2019,노원구,살인,4
2019,은평구,살인,3
2019,서대문구,살인,2
2019,마포구,살인,2
2019,양천구,살인,6
2019,강서구,살인,8
2019,구로구,살인,10
2019,금천구,살인,6
2019,영등포구,살인,10
2019,동작구,살인,4
2019,관악구,살인,13
2019,서초구,살인,5
2019,강남구,살인,5
2019,송파구,살인,7
2019,강동구,살인,6
2019,종로구,강도,7
2019,중구,강도,6
2019,용산구,강도,3
2019,성동구,강도,9
2019,광진구,강도,6
2019,동대문구,강도,10
2019,중랑구,강도,4
2019,성북구,강도,3
2019,강북구,강도,3
2019,도봉구,강도,5
2019,노원구,강도,3
2019,은평구,강도,1
2019,서대문구,강도,5
2019,마포구,강도,2
2019,양천구,강도,2
2019,강서구,강도,3
2019,구로구,강도,3
2019,금천구,강도,10
2019,영등포구,강도,3
2019,동작구,강도,1
2019,관악구,강도,10
2019,서초구,강도,7
2019,강남구,강도,5
2019,송파구,강도,10
2019,강동구,강도,15
2019,종로구,강간·강제추행,238
2019,중구,강간·강제추행,195
2019,용산구,강간·강제추행,272
2019,성동구,강간·강제추행,133
2019,광진구,강간·강제추행,273
2019,동대문구,강간·강제추행,168
2019,중랑구,강간·강제추행,138
2019,성북구,강간·강제추행,176
2019,강북구,강간·강제추행,176
2019,도봉구,강간·강제추행,90
2019,노원구,강간·강제추행,184
2019,은평구,강간·강제추행,194
2019,서대문구,강간·강제추행,175
2019,마포구,강간·강제추행,495
2019,양천구,강간·강제추행,127
2019,강서구,강간·강제추행,306
2019,구로구,강간·강제추행,226
2019,금천구,강간·강제추행,153
2019,영등포구,강간·강제추행,356
