category,timerange,cnt
살인,0시00분-02시59분,48
살인,03시00분-05시59분,71
살인,06시00분-08시59분,49
살인,09시00분-11시59분,72
살인,12시00분-14시59분,84
살인,15시00분-17시59분,93
살인,18시00분-20시59분,109
살인,21시00분-23시59분,131
강도,0시00분-02시59분,105
강도,03시00분-05시59분,131
강도,06시00분-08시59분,44
강도,09시00분-11시59분,59
강도,12시00분-14시59분,68
강도,15시00분-17시59분,72
강도,18시00분-20시59분,81
강도,21시00분-23시59분,107
강간·강제추행,0시00분-02시59분,2623
강간·강제추행,03시00분-05시59분,2963
강간·강제추행,06시00분-08시59분,1779
강간·강제추행,09시00분-11시59분,1544
강간·강제추행,12시00분-14시59분,1705
강간·강제추행,15시00분-17시59분,2109
강간·강제추행,18시00분-20시59분,2710
강간·강제추행,21시00분-23시59분,3749
절도,0시00분-02시59분,13088
절도,03시00분-05시59분,14167
절도,06시00분-08시59분,13094
절도,09시00분-11시59분,21501
절도,12시00분-14시59분,27167
절도,15시00분-17시59분,28553
절도,18시00분-20시59분,27229
절도,21시00분-23시59분,20568
폭력,0시00분-02시59분,26048
폭력,03시00분-05시59분,22202
폭력,06시00분-08시59분,13484
폭력,09시00분-11시59분,17447
폭력,12시00분-14시59분,18481
폭력,15시00분-17시59분,22060
폭력,18시00분-20시59분,29696
폭력,21시00분-23시59분,46615
